date,minTemp
2019-12-20,7.1
2019-12-21,9.9
2019-12-22,9.5
2019-12-23,5.9
2019-12-24,3.2
2019-12-25,3.1
2019-12-26,2.0
2019-12-27,0.5
2019-12-28,-0.1
2019-12-29,-1.7
2019-12-30,-4.7
2019-12-31,-4.9
2020-01-01,-3.2
2020-01-02,-2.7
2020-01-03,-4.5
2020-01-04,-3.8
2020-01-05,-2.0
2020-01-06,-4.5
2020-01-07,-5.2
2020-01-08,-5.7
2020-01-09,-3.4
2020-01-10,-3.4
2020-01-11,-3.0
2020-01-12,-3.2
2020-01-13,-3.2
2020-01-14,-3.4
2020-01-15,-4.6
2020-01-16,-3.7
2020-01-17,-2.1
2020-01-18,-4.4
2020-01-19,-3.7
2020-01-20,-1.6
2020-01-21,-1.0
2020-01-22,-2.4
2020-01-23,-3.4
2020-01-24,-3.4
2020-01-25,-3.7
2020-01-26,-0.3
2020-01-27,1.6
2020-01-28,-0.4
2020-01-29,0.9
2020-01-30,-0.3
2020-01-31,1.1
2020-02-01,5.4
2020-02-02,8.0
2020-02-03,8.6
2020-02-04,4.7
2020-02-05,0.2
2020-02-06,-2.2
2020-02-07,0.3
2020-02-08,-2.7
2020-02-09,-3.3
2020-02-10,0.8
2020-02-11,3.6
2020-02-12,1.7
2020-02-13,-1.9
2020-02-14,5.2
2020-02-15,1.2
2020-02-16,-0.4
2020-02-17,3.7
2020-02-18,3.1
2020-02-19,1.3
2020-02-20,0.9
2020-02-21,-0.6
2020-02-22,-0.5
2020-02-23,2.2
2020-02-24,3.0
2020-02-25,3.9
2020-02-26,4.5
2020-02-27,1.4
2020-02-28,2.2
2020-02-29,-1.4
2020-03-01,4.7
2020-03-02,9.1
2020-03-03,10.8
2020-03-04,5.5
2020-03-05,2.9
2020-03-06,4.0
2020-03-07,5.1
2020-03-08,4.0
2020-03-09,3.4
2020-03-10,5.1
2020-03-11,3.7
2020-03-12,6.8
2020-03-13,6.9
2020-03-14,6.0
2020-03-15,2.2
2020-03-16,1.3
2020-03-17,0.4
2020-03-18,2.7
2020-03-19,3.2
2020-03-20,4.0
2020-03-21,4.5
2020-03-22,3.7
2020-03-23,-1.4
2020-03-24,-1.2
2020-03-25,-1.0
2020-03-26,1.3
2020-03-27,5.5
2020-03-28,2.7
2020-03-29,5.4
2020-03-30,4.2
2020-03-31,1.0
2020-04-01,0.1
2020-04-02,0.6
2020-04-03,-0.0
2020-04-04,1.9
2020-04-05,5.8
2020-04-06,7.1
2020-04-07,6.4
2020-04-08,2.6
2020-04-09,4.8
2020-04-10,7.6
2020-04-11,6.6
2020-04-12,5.3
2020-04-13,9.1
2020-04-14,3.5
2020-04-15,0.2
2020-04-16,3.2
2020-04-17,8.2
2020-04-18,10.6
2020-04-19,11.2
2020-04-20,11.2
2020-04-21,8.0
2020-04-22,4.9
2020-04-23,7.0
2020-04-24,5.8
2020-04-25,9.6
2020-04-26,8.8
2020-04-27,6.5
2020-04-28,11.8
2020-04-29,13.3
2020-04-30,12.2
2020-05-01,12.0
2020-05-02,11.4
2020-05-03,10.3
2020-05-04,7.6
2020-05-05,8.2
2020-05-06,9.8
2020-05-07,7.8
2020-05-08,8.0
2020-05-09,9.9
2020-05-10,13.7
2020-05-11,15.5
2020-05-12,11.0
2020-05-13,9.4
2020-05-14,16.4
2020-05-15,13.9
2020-05-16,11.5
2020-05-17,14.1
2020-05-18,14.4
2020-05-19,16.2
2020-05-20,14.9
2020-05-21,12.3
2020-05-22,8.5
2020-05-23,11.8
2020-05-24,11.5
2020-05-25,9.9
2020-05-26,10.3
2020-05-27,9.0
2020-05-28,10.6
2020-05-29,10.6
2020-05-30,10.5
2020-05-31,9.2
2020-06-01,9.0
2020-06-02,10.9
2020-06-03,9.7
2020-06-04,11.7
2020-06-05,17.6
2020-06-06,16.1
2020-06-07,15.4
2020-06-08,16.4
2020-06-09,15.6
2020-06-10,15.8
2020-06-11,15.2
2020-06-12,15.6
2020-06-13,16.5
2020-06-14,18.3
2020-06-15,17.4
2020-06-16,16.6
2020-06-17,16.5
2020-06-18,17.0
